question|first_chunk|first_question|chunks|questions|decision
Здравствуйте. Как пройти обучающие видео по программе?|64d86acd-2cab-4504-9a61-08c6fb78d535|8c7d7aa7-5d9c-451e-92ab-de01d69a6e3b|[7.143195855235987, 7.071256141445328, 6.901048601486064, 6.808510251596175, 6.646906343516239, 3.7648942771067437, 2.977499113967161, 2.9318362526662645]|[4.231909808536104, 4.037738421479279, 3.9917301799300904, 3.7648942771067437, 3.757207398671815, 3.5513716644535704]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|45417cb5-a536-4216-aa77-1dd69cbf9bbe|4bab8cbf-4886-434d-8353-e54ba067f861|[6.294409505847353, 6.196645802277673, 6.175983941847802, 6.129536628040145, 6.035894377818268, 2.92797828119748, 2.884106879564431]|[6.56640577375996, 3.5305581795963428, 3.3044141240071943, 3.3017332449576253, 3.193059519522766, 3.119312492074925]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|25ef7439-791a-439c-93ae-46eab7e1aee9|ccc37f63-cdef-439f-a978-f1a51c4510c9|[6.366718426053309, 3.2523590300701213, 3.1710699024129365, 3.114125561849084, 3.093643039088526, 3.041131880320485, 3.023040544655628]|[6.277123705711151, 3.1710699024129365, 3.041131880320485, 3.023040544655628]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|25ef7439-791a-439c-93ae-46eab7e1aee9|1b91cbc9-7f43-41d1-a8fa-87b938a6936e|[6.66469737053601, 6.475716237945116, 3.807885492090858, 3.637681445374879, 3.0270303819580704, 2.977535839960175, 2.9543994309988353]|[7.212320842906846, 3.807885492090858, 3.637681445374879, 3.609990099928111]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|2bd506c7-b0bc-455d-aa08-50f131ffca81|19153847-4490-4fe8-860e-dba149125430|[8.303714683986932, 8.164978721867937, 7.688626418794179, 7.651376492323662, 7.335216073365414, 3.8387770985584235, 3.681567493255008]|[9.010684239521495, 4.7722734397544855, 4.615789003079996, 4.519341235770838, 4.197345501484013, 4.102257294436356, 4.045062432807187, 4.021113630649517, 3.801290478113123]|{'show_chunks': 4, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|1d12bcd9-d444-4f72-b6eb-da952dcc13ad|a27a38f6-060f-4a3a-983d-e33a849875c1|[9.394086893217633, 8.99660921295812, 8.261563080450394, 7.932661090421146, 4.394949370452631]|[10.582933974986934, 10.445721877014698, 9.981058310797465, 4.816579592113279, 4.215879818943398, 4.160956017993788, 4.050431655006264, 3.9506943119870956, 3.892329307653617, 3.890277816102162]|{'show_chunks': 3, 'show_questions': 3, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Подскажите пожалуйста, где можно отключить уведомления на почту..? кто-нибудь начинает добавлять задачи у меня завал на почте|83eae361-e90c-4d31-a10a-ee0e9cdefce4|d56cba79-9d56-44f6-a4b0-1d1ff7a97e0a|[7.560056668076182, 7.347446973131779, 6.748868850737352, 2.9956794705302463]|[8.815130475344109, 8.401503760328996, 7.680138576495587, 7.316472336959006, 3.4429590884782098, 3.3796887491172924, 3.276887682346188]|{'show_chunks': 1, 'show_questions': 3, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Просьба подсказать, как можно поменять почту у действующего сотрудника в Платрум, чтобы ему повторно не проходить курсы.|cbfb68bc-524c-4797-87ee-7d6b3c09c109|00e8d565-e112-48b5-9d56-f146ac02cd68|[7.225874741647441, 3.870548131031721, 3.831631461041623, 3.794185768424671, 3.786214448136503, 3.6793439417488205, 3.4132430579432103, 3.185983902224577]|[3.870548131031721, 3.831631461041623, 3.794185768424671, 3.6793439417488205, 3.58226658877467]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
Здравствуйте, как можно добавить видео с хостинга Vimeo в обучение?|cdde4189-adff-47f4-89f8-5f2be35d03e4|29e0b896-10c1-4fbf-9f14-bfc88087e539|[6.835258137182535, 6.75440674202444, 6.523088647626537, 6.487413927198457, 6.278146853739623, 4.035203249671349, 3.702170332728744]|[7.363198112308178, 4.035203249671349, 4.0082931442035195, 3.702170332728744, 3.54381878575761, 3.5030973521543656, 3.3020753877900755]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
Пишу правильный ответ на текст, пишет допустили ошибку|7b27e1f3-04e8-47eb-a2e1-3ce57b77c916|3983d450-3841-4237-b3b2-a50d2eb41916|[6.198656477256251, 6.084028163009391, 5.867317751874086, 5.797104107465132, 3.364813532725935, 3.3062749243450793]|[6.53451272615691, 3.4054826814243127, 3.325104283496521, 3.3062749243450793, 3.039908041111885, 2.962138453869088, 2.8783021581326773, 2.784920489609842]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
