question|total_answers|min_score|mean_score|max_score
Здравствуйте. Как пройти обучающие видео по программе?|4|0.30156332|0.3299802094697952|0.34199014
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|4|0.38744828|0.4023508206009865|0.41060024
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|4|0.37804502|0.3959607034921646|0.41824472
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|4|0.37858373|0.3890469968318939|0.39870572
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|4|0.27304903|0.3311394900083542|0.36913332
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|4|0.2910253|0.3270426169037819|0.38525224
Подскажите пожалуйста, где можно отключить уведомления на почту..? кто-нибудь начинает добавлять задачи у меня завал на почте|4|0.32358098|0.3622487112879753|0.37595397
Просьба подсказать, как можно поменять почту у действующего сотрудника в Платрум, чтобы ему повторно не проходить курсы.|4|0.3560571|0.36158470064401627|0.36483034
Здравствуйте, как можно добавить видео с хостинга Vimeo в обучение?|4|0.31167734|0.33546001464128494|0.35428736
Пишу правильный ответ на текст, пишет допустили ошибку|4|0.39285034|0.4070551320910454|0.41935453
есть ли возможность загрузить в Platrum опросник 360 для прохождения анонимного опроса всеми сотрудниками компании использующими в работе программу.|4|0.33025932|0.3443916141986847|0.35808575
Как вставить тесты и практические задания в обучающий курс?|4|0.25638545|0.2780619412660599|0.2955743
Подскажите, как пересдать экзамен, если есть неверные ответы?|4|0.31850165|0.3760022297501564|0.4153113
Менеджеры могут и писать курс и проходить его потом?|4|0.3161002|0.3258114606142044|0.33859253
Подскажите, пожалуйста, как перенести статью из папки в папку|4|0.35640433|0.39491962641477585|0.41538268
Подскажите, возможно ли в текстовом редакторе внутри базы знаний сделать картинку- полоску для разделения текста.|4|0.297518|0.3139459639787674|0.33247748
новости в компании каждый сотрудник может публиковать?|4|0.32966|0.35039157420396805|0.37796354
Здравствуйте есть api на бронирование?|4|0.29188693|0.3749713897705078|0.4077025
как добавить права сотруднику и какие чтоб он мог делать курсы и выставлять их|4|0.23492429|0.26629407331347466|0.29749382
Работает ли Платрум в Азербайджане?|4|0.34576458|0.3685316890478134|0.38029367
в БП есть опция отмены создания БП?|4|0.39868754|0.40239250659942627|0.4075685
есть ли у БП параметр успешности\неуспешности закрытия? Н-р, при выборе одного селекта + завершить БП будет помечен как успешно закрытый, другого + завершить - как неуспешно закрытый.|4|0.41114575|0.41462530195713043|0.41965908
как сделать чтоб сотрудник мог видеть и вносить суммы в расходах и доходах только своей кассы и типов его отдела|4|0.27475077|0.28623834252357483|0.30137932
Как создать виджет в дашбоорд?|4|0.2297447|0.3100646287202835|0.34837288
работает ли Platrum в Китае?|4|0.39623362|0.40346506237983704|0.41512108
где я могу получить информацию о том,что такое Программа обучения и как с ней работать?|4|0.3082314|0.3388969898223877|0.35890406
Где могу посмотреть удаленные статьи на платрум?|4|0.3441421|0.36698923259973526|0.37978357
как мне скопировать ссылку так, чтобы при открытии открылся сразу нужный заголовк?|4|0.39524913|0.4016425162553787|0.40430224
Подскажите, пожалусйта, как удалить демо-данные по метрикам|4|0.32736516|0.3599436581134796|0.38954544
мы можем перенести влю базу знаний на другой аккаунт?|4|0.34244365|0.35425645112991333|0.36974293
Скажите, есть возможность в P&L отчете в формулах учитывать проценты?|4|0.2880186|0.33707062900066376|0.36964056
в каком из инструментов планирования задач мне будет удобней всего отслеживать именно просроченные задачи - чтобы они подсвечивались красным например|4|0.2718352|0.31022167950868607|0.34700793
орг структуру внутри статьи нарисовать можно?|4|0.32953|0.3429708480834961|0.36507285
как сохранить работу над ошибками?|4|0.38093656|0.3983186334371567|0.4078714
В карточку задачи скриншот по принципу ctrl+v вставить не получится?|4|0.33189812|0.3439091369509697|0.35227567
почему я не вижу доступных курсов в разделе Академия?|4|0.30720156|0.3230587840080261|0.33621037
можно ли секции в оргсхеме менять местами?|4|0.35401982|0.36811286211013794|0.3895474
можно как-то, чтоб метрики не удалять, а в архив отправлять?|4|0.31280398|0.34657832235097885|0.38267225
может ли один курс быть в разных программах?|4|0.3166482|0.37225914746522903|0.39648902
шаблон на 7 управленний доступен только после оплаты?|4|0.306854|0.33918076753616333|0.3588655
Забыл пароль. Как восстановить?|4|0.3543482|0.37905358523130417|0.39796644
Как передать метрики?|4|0.24789011|0.31244682520627975|0.38086188
Как добавить сотрудника?|4|0.20925823|0.2676816061139107|0.3092085
Как выдать доступы сотруднику?|4|0.30025256|0.3265529200434685|0.3602451
Ваша учетная запись отключена - почему и что делать?|4|0.3742146|0.38717690855264664|0.40196356
Как распечатать структуру?|4|0.25547028|0.3140741214156151|0.3702864
Пропали метрики после смены структуры, как вернуть?|4|0.35149574|0.39814891666173935|0.4471293
Как заполнить метрики за предыдущие периоды?|4|0.2760375|0.3181752637028694|0.35793906
Как восстановить пароль?|4|0.33948678|0.3728690966963768|0.40067682
Как восстановить удаленную статью?|4|0.40096653|0.40737178921699524|0.41262072
Как добавить на должность сотрудника?|4|0.2081559|0.2455902174115181|0.2613858
