question|total_answers|min_score|mean_score|max_score
Здравствуйте. Как пройти обучающие видео по программе?|4|0.26294184|0.2871413826942444|0.30057943
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|4|0.30866358|0.3397262617945671|0.3599266
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|4|0.31088597|0.32132473587989807|0.33269054
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|4|0.3181163|0.32595500349998474|0.33359522
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|4|0.2518569|0.2607230618596077|0.2693291
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|4|0.24776077|0.26488928496837616|0.2877601
Подскажите пожалуйста, где можно отключить уведомления на почту..? кто-нибудь начинает добавлять задачи у меня завал на почте|4|0.28546685|0.30346985161304474|0.3160798
Просьба подсказать, как можно поменять почту у действующего сотрудника в Платрум, чтобы ему повторно не проходить курсы.|4|0.2739161|0.2953222990036011|0.3147198
Здравствуйте, как можно добавить видео с хостинга Vimeo в обучение?|4|0.29527527|0.31163305789232254|0.32804844
Пишу правильный ответ на текст, пишет допустили ошибку|4|0.32241687|0.339125357568264|0.35290742
есть ли возможность загрузить в Platrum опросник 360 для прохождения анонимного опроса всеми сотрудниками компании использующими в работе программу.|4|0.28348392|0.2957533597946167|0.30659527
Как вставить тесты и практические задания в обучающий курс?|4|0.25005996|0.2561594769358635|0.25958443
Подскажите, как пересдать экзамен, если есть неверные ответы?|4|0.28210363|0.30902455747127533|0.325194
Менеджеры могут и писать курс и проходить его потом?|4|0.27724153|0.29378946125507355|0.30174643
Подскажите, пожалуйста, как перенести статью из папки в папку|4|0.30664217|0.34741242229938507|0.36305135
Подскажите, возможно ли в текстовом редакторе внутри базы знаний сделать картинку- полоску для разделения текста.|4|0.26090086|0.2767084836959839|0.29254293
новости в компании каждый сотрудник может публиковать?|4|0.28932637|0.30073346197605133|0.305848
Здравствуйте есть api на бронирование?|4|0.26547992|0.33109696954488754|0.37989748
как добавить права сотруднику и какие чтоб он мог делать курсы и выставлять их|4|0.19527096|0.22827234491705894|0.25465047
Работает ли Платрум в Азербайджане?|4|0.3331243|0.3433159440755844|0.3493817
в БП есть опция отмены создания БП?|4|0.3751979|0.38273417204618454|0.38644642
есть ли у БП параметр успешности\неуспешности закрытия? Н-р, при выборе одного селекта + завершить БП будет помечен как успешно закрытый, другого + завершить - как неуспешно закрытый.|4|0.37084502|0.37775058299303055|0.38389274
как сделать чтоб сотрудник мог видеть и вносить суммы в расходах и доходах только своей кассы и типов его отдела|4|0.23744985|0.24179056659340858|0.24693392
Как создать виджет в дашбоорд?|4|0.21146841|0.23738374933600426|0.2602135
работает ли Platrum в Китае?|4|0.34267968|0.36760101467370987|0.378871
где я могу получить информацию о том,что такое Программа обучения и как с ней работать?|4|0.2910301|0.30194274336099625|0.31380284
Где могу посмотреть удаленные статьи на платрум?|4|0.32399744|0.3291512727737427|0.33302832
как мне скопировать ссылку так, чтобы при открытии открылся сразу нужный заголовк?|4|0.2724411|0.31719662994146347|0.3511495
Подскажите, пожалусйта, как удалить демо-данные по метрикам|4|0.29875016|0.30369962751865387|0.31043065
мы можем перенести влю базу знаний на другой аккаунт?|4|0.2878682|0.3062309995293617|0.31402996
Скажите, есть возможность в P&L отчете в формулах учитывать проценты?|4|0.28895026|0.30761564522981644|0.32842022
в каком из инструментов планирования задач мне будет удобней всего отслеживать именно просроченные задачи - чтобы они подсвечивались красным например|4|0.24805972|0.2691725790500641|0.28889042
орг структуру внутри статьи нарисовать можно?|4|0.32515132|0.3307870179414749|0.33855623
как сохранить работу над ошибками?|4|0.27742615|0.3051625043153763|0.34660682
В карточку задачи скриншот по принципу ctrl+v вставить не получится?|4|0.30936408|0.3132519870996475|0.31501418
почему я не вижу доступных курсов в разделе Академия?|4|0.27886844|0.2815077006816864|0.2842213
можно ли секции в оргсхеме менять местами?|4|0.33863795|0.34115490317344666|0.34781247
можно как-то, чтоб метрики не удалять, а в архив отправлять?|4|0.28441706|0.2926747128367424|0.29916608
может ли один курс быть в разных программах?|4|0.2806797|0.31057654321193695|0.32703957
шаблон на 7 управленний доступен только после оплаты?|4|0.30997872|0.3111087381839752|0.3115657
Забыл пароль. Как восстановить?|4|0.29213288|0.2996370941400528|0.31065273
Как передать метрики?|4|0.22241898|0.2438718117773533|0.26111153
Как добавить сотрудника?|4|0.20187493|0.212869044393301|0.23170543
Как выдать доступы сотруднику?|4|0.27009544|0.27351467311382294|0.27671766
Ваша учетная запись отключена - почему и что делать?|4|0.3453029|0.3476567268371582|0.35253757
Как распечатать структуру?|4|0.23628493|0.2592000849545002|0.28115493
Пропали метрики после смены структуры, как вернуть?|4|0.31389648|0.3353954702615738|0.34795088
Как заполнить метрики за предыдущие периоды?|4|0.21268311|0.2325146719813347|0.251863
Как восстановить пароль?|4|0.26803893|0.28611669689416885|0.29794773
Как восстановить удаленную статью?|4|0.29042715|0.3090192452073097|0.3215827
Как добавить на должность сотрудника?|4|0.18493167|0.1981893554329872|0.20537817
