question|total_answers|min_score|mean_score|max_score
Здравствуйте. Как пройти обучающие видео по программе?|4|0.26048052|0.2799396961927414|0.2991506
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|4|0.33469647|0.3363937884569168|0.33827728
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|4|0.29035503|0.3013244718313217|0.31488538
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|4|0.3014383|0.3026382848620415|0.3055085
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|4|0.24234185|0.25773948803544044|0.2718715
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|4|0.25990123|0.27564385533332825|0.29431182
Подскажите пожалуйста, где можно отключить уведомления на почту..? кто-нибудь начинает добавлять задачи у меня завал на почте|4|0.28697085|0.29778488725423813|0.31990337
Просьба подсказать, как можно поменять почту у действующего сотрудника в Платрум, чтобы ему повторно не проходить курсы.|4|0.29253292|0.2958681583404541|0.2990743
Здравствуйте, как можно добавить видео с хостинга Vimeo в обучение?|4|0.29361433|0.2959457039833069|0.3022834
Пишу правильный ответ на текст, пишет допустили ошибку|4|0.3158604|0.3242664411664009|0.33227912
есть ли возможность загрузить в Platrum опросник 360 для прохождения анонимного опроса всеми сотрудниками компании использующими в работе программу.|4|0.29165223|0.2998228371143341|0.30599883
Как вставить тесты и практические задания в обучающий курс?|4|0.27020442|0.2779633700847626|0.2856866
Подскажите, как пересдать экзамен, если есть неверные ответы?|4|0.27181855|0.28964969515800476|0.30316216
Менеджеры могут и писать курс и проходить его потом?|4|0.2622199|0.27902112156152725|0.2860984
Подскажите, пожалуйста, как перенести статью из папки в папку|4|0.3084749|0.31648967415094376|0.32037926
Подскажите, возможно ли в текстовом редакторе внутри базы знаний сделать картинку- полоску для разделения текста.|4|0.28185514|0.2911735326051712|0.29850006
новости в компании каждый сотрудник может публиковать?|4|0.27125692|0.2765389084815979|0.28521842
Здравствуйте есть api на бронирование?|4|0.25523093|0.29520031809806824|0.32426298
как добавить права сотруднику и какие чтоб он мог делать курсы и выставлять их|4|0.22936237|0.24080132320523262|0.2564701
Работает ли Платрум в Азербайджане?|4|0.32052854|0.33071208745241165|0.3352961
в БП есть опция отмены создания БП?|4|0.32596567|0.3395227938890457|0.3484272
есть ли у БП параметр успешности\неуспешности закрытия? Н-р, при выборе одного селекта + завершить БП будет помечен как успешно закрытый, другого + завершить - как неуспешно закрытый.|4|0.35761017|0.36389683932065964|0.36705574
как сделать чтоб сотрудник мог видеть и вносить суммы в расходах и доходах только своей кассы и типов его отдела|4|0.24479002|0.24960855394601822|0.26002854
Как создать виджет в дашбоорд?|4|0.25315025|0.26060354709625244|0.2698046
работает ли Platrum в Китае?|4|0.32097182|0.33680497854948044|0.34418118
где я могу получить информацию о том,что такое Программа обучения и как с ней работать?|4|0.28410444|0.289701446890831|0.29264104
Где могу посмотреть удаленные статьи на платрум?|4|0.31841382|0.3314446732401848|0.3388434
как мне скопировать ссылку так, чтобы при открытии открылся сразу нужный заголовк?|4|0.29300395|0.31568972766399384|0.32749528
Подскажите, пожалусйта, как удалить демо-данные по метрикам|4|0.24307175|0.2852110154926777|0.30723733
мы можем перенести влю базу знаний на другой аккаунт?|4|0.25724822|0.28690122067928314|0.30506122
Скажите, есть возможность в P&L отчете в формулах учитывать проценты?|4|0.30212548|0.3038901761174202|0.30610305
в каком из инструментов планирования задач мне будет удобней всего отслеживать именно просроченные задачи - чтобы они подсвечивались красным например|4|0.24060929|0.25400059670209885|0.2696203
орг структуру внутри статьи нарисовать можно?|4|0.29923838|0.3088246136903763|0.32565898
как сохранить работу над ошибками?|4|0.2974886|0.32127248495817184|0.3351712
В карточку задачи скриншот по принципу ctrl+v вставить не получится?|4|0.29157302|0.3014121279120445|0.30556417
почему я не вижу доступных курсов в разделе Академия?|4|0.24832278|0.2560971602797508|0.26528037
можно ли секции в оргсхеме менять местами?|4|0.3099447|0.32274238765239716|0.33114505
можно как-то, чтоб метрики не удалять, а в архив отправлять?|4|0.27696204|0.290097177028656|0.29612565
может ли один курс быть в разных программах?|4|0.24220908|0.2863313853740692|0.32184
шаблон на 7 управленний доступен только после оплаты?|4|0.2698981|0.2956090644001961|0.3141976
Забыл пароль. Как восстановить?|4|0.2592947|0.27654124796390533|0.29086208
Как передать метрики?|4|0.25424227|0.2586081475019455|0.2626347
Как добавить сотрудника?|4|0.20135015|0.2182050123810768|0.24569681
Как выдать доступы сотруднику?|4|0.23758212|0.24525782838463783|0.25513497
Ваша учетная запись отключена - почему и что делать?|4|0.33598542|0.33823662251234055|0.34010884
Как распечатать структуру?|4|0.14457902|0.2295287884771824|0.27312538
Пропали метрики после смены структуры, как вернуть?|4|0.31113547|0.3295392617583275|0.33890626
Как заполнить метрики за предыдущие периоды?|4|0.22515035|0.24935881048440933|0.2608733
Как восстановить пароль?|4|0.2608469|0.2693353593349457|0.27326718
Как восстановить удаленную статью?|4|0.32582134|0.32996126264333725|0.33355856
Как добавить на должность сотрудника?|4|0.21919855|0.2278478406369686|0.23736474
