question|document_page_content|similarity_score
Здравствуйте. Как пройти обучающие видео по программе?|Наглядно и просто мы описываем весь процесс запуска обучения в коротком видео: https://www.youtube.com/embed/esLVA9YBT04|0.26321483
Здравствуйте. Как пройти обучающие видео по программе?|"Программы обучения предназначены для систематизации прохождения курсов подчиненными. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023387999/original/y8ObPTEilN5DdAgXarLOiCKM_pwROo899A.png?1662561281 Например, вам необходимо, чтобы сотрудники проходили курсы в четкой последовательности - вы сможете настроить прохождение программы таким образом, чтобы сотрудники не смог приступить к следующему курсу, пока не будет пройден предыдущий. Или ваши курсы разбиты по разным темам, и вам необходимо рассортировать курсы по темам, например, ""Продажи"", ""Продвижение"" и т.д - в этом вам так же помогут программы обучения."|0.28713813
Здравствуйте. Как пройти обучающие видео по программе?|"Данная статья должна помочь вам разобраться в работе с сервисом и последовательно настроить проект для работы. Вы всегда можете обращаться к ней прямо в проекте, просто введите в поиск ""Начало работы"". Рекомендуем посмотреть обзорную презентацию, в ней рассмотрены все инструменты: https://www.youtube.com/embed/RF6WAqu1BL8?&wmode=opaque"|0.29828012
Здравствуйте. Как пройти обучающие видео по программе?|"В самом начале, все курсы, которые у вас были созданы до этого, будут находиться в ""Курсах без программ"": https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023388060/original/BLhEArTU1ydWs_MTknd79CZRePeZaUb8og.png?1662561314 Если у вас еще нет курсов, просмотрите статью (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525541-%D1%81%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BA%D1%83%D1%80%D1%81%D0%B0) для создания первого курса."|0.3006763
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|В случае, если вы сделали какое-то изменение и получили не тот результат, который хотели или случайно удалили нужный блок, то вы можете восстановить одну из предыдущих версий. Версии хранятся за последние 3 дня. Открыть список версий и выбрать нужную можно открыв пункт «История версий» в выпадающем списке по клику на три точки рядом с кнопкой настроек структуры. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003437903/original/Iym-68tLwDyFPOQxpxPJ5JF6TK1qpGeYGQ.png?1645703785 При выборе какой-то версии она сразу же восстанавливается, но при этом текущая также сохраняется, так что вы сможете отменить восстановление выбрав последнюю сохраненную версию.|0.30866358
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|Сотрудники с доступом на редактирование могут видеть историю всех изменений статьи по датам и автору изменений. При необходимости можно выбрать одну из версий и в режиме редактирования появится кнопка “Восстановить версию”: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641263/original/OfN88jXT0Jv5SlE1eSDbUaJquGOQmSXILQ.png?1646057736 https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641241/original/aWReLIPyViImzzjn8TDw25JFiougw0-mUg.png?1646057729|0.3324143
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|Данный функционал создан для того, чтобы вы не волновались за утерю своих данных. Например, какой-то сотрудник случайно или по злому умыслу удалил все данные с вашего проекта (Например, все статьи из Базы знаний, все курсы Академии или всех Сотрудников). Теперь это не превратится в большую проблему, когда придется вручную восстанавливать данные. Просто передайте в нашу поддержку отправленный вам на почту архив для восстановления всех утерянных данных. Бекап отправляется 1 раз в 30 дней, он будет содержаться в архиве с файлом в формате JSON.|0.33707625
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|На графике метрики учитываются только рабочие дни. Если конец отчетной недели выпадает на праздничный день, то на графике отобразится предыдущий день. В дневной метрике выводятся только рабочие дни, таким образом график метрик сотрудника, работающего посменно, будет выводится без разрывов на выходные. Однажды назначенный сотруднику график работы фиксируется в истории. Например, если сотрудник сначала работал на одном графике, а потом перешел на другой, то исторические данные метрик будут отображаться по старому графику, а новые данные уже по новому графику.|0.34875077
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|В таком случае напишите, пожалуйста, нам, мы обязательно поможем. Вы можете написать, воспользовавшись виджетом чата или, если вы на странице документации, то через форму обратной связи (в правом верхнем углу).|0.31096578
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|Техническая поддержка есть на всех платных тарифах нашего сервиса. Но здесь к вам будет прикреплен личный менеджер для быстрого и удобного именно вам решения возникших у вас проблем, вопросов, а так же выполнения доработок сервиса, которые вам будут удобны. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73031444283/original/QCvqIniaMmnxaxoL5ET4b_5dmCsq0Ma1sw.png?1668415957|0.3183117
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|В таком случае напишите, пожалуйста, нам, мы обязательно поможем. Вы можете написать, воспользовавшись виджетом чата или, если вы на странице документации, то через форму обратной связи (в правом верхнем углу).|0.32029453
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|Да, вы можете изменить тариф при наличии уже оплаченной лицензии. Для этого напишите, пожалуйста, нам, мы обязательно поможем. Вы можете написать, воспользовавшись виджетом чата или, если вы на странице документации, то через форму обратной связи (в правом верхнем углу). При расчете стоимости новой лицензии мы учтем остаток срока текущей и соответственно уменьшим итоговую сумму счета.|0.32178313
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|В таком случае напишите, пожалуйста, нам, мы обязательно поможем. Вы можете написать, воспользовавшись виджетом чата или, если вы на странице документации, то через форму обратной связи (в правом верхнем углу).|0.31821215
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|В таком случае напишите, пожалуйста, нам, мы обязательно поможем. Вы можете написать, воспользовавшись виджетом чата или, если вы на странице документации, то через форму обратной связи (в правом верхнем углу).|0.3225971
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|"Данная статья должна помочь вам разобраться в работе с сервисом и последовательно настроить проект для работы. Вы всегда можете обращаться к ней прямо в проекте, просто введите в поиск ""Начало работы"". Рекомендуем посмотреть обзорную презентацию, в ней рассмотрены все инструменты: https://www.youtube.com/embed/RF6WAqu1BL8?&wmode=opaque"|0.3296183
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|"Если вам нужна помощь в настройке или комплексное внедрение продукта под ключ, вы можете заказать его у одного из наших сертифицированных партнеров. Это можно сделать, заполнив форму в том же меню по кнопке ""Заказать внедрение"", либо на нашем сайте - https://platrum.ru/partners-list (https://platrum.ru/partners-list) В течение часа с момента заполнения анкеты с вами свяжутся наши партнеры, соберут требования и обсудят детали процесса подключения."|0.33337712
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|Календарь является основным помощником в работе с задачами. Идея страницы в том, что здесь вы на одном экране видите все данные по задачам, которые вас касаются: - все входящие задачи, которые можете сразу поставить в календарь или в грядущие планы; - все задачи, порученные вашим подчиненным; - задачи с нескольких досок одновременно.|0.25184315
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|У каждого сотрудника в проекте есть возможность работать с задачами в календаре. Сотрудники, у которых есть подчиненные, могут выбирать для просмотра календарь своего сотрудника.|0.25898594
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|Справа от календаря находятся списки задач. Каждый из них выполняет свою функцию в календаре, о которых расскажем ниже.|0.26250774
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|"Настраивается синхронизация в разделе настроек - Задачи - Интеграция с Google Calendar. В нее также можно быстро перейти со страницы ""Календарь"" через шестеренку. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003646181/original/GREowCRCJnNTjpfpxgKOMx2UtqmVf5fD9w.png?1646061114 При подключении вы можете создать новый календарь с названием Platrum, либо выбрать в списке один из уже использующихся календаре. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003646185/original/QhUuRJBREv_CQwhbv8e325mXoChUPshVOw.png?1646061116 Синхронизация задач с Google Календарем двусторонняя. Чтобы задача отобразилась в Platrum, нужно создать ""Мероприятие"" в Google Календаре и выбрать календарь, который вы указывали при интеграции c Google Календарем в Platrum."|0.26933032
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|"Сотруднику с доступом на согласование платежей доступны кнопки действия напротив каждого платежа. Есть пять действий: - Согласовать - у платежа отметится один из этапов согласования и - Отклонить - платеж будет отклонен и станет недоступен для дальнейшего согласования - На паузу - на случай, если пока платеж нужно отложить и оплатить позже. У него пропадут другие кнопки действия и изменится статус - Возобновить - появляется только у платежей на паузе.Действие вернет платеж в статус ""На рассмотрении"" и станет доступно согласование платежа - Создать транзакцию - доступно только согласованным платежам. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73015019176/original/jHlhmklAQv1lEtDkX4GrHf_AQRs9nLC0Jg.png?1657013017 Если платеж был согласован одной цепочкой согласовывающих, а позже в нее были добавлены новые участники, его не надо будет согласовывать повторно, он останется в статусе ""Платим""."|0.24777475
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|По полностью согласованной заявке можно внести фактически оплаченную сумму. Это может сделать сотрудник, у которого есть соответствующий доступ (смотрите в настройках доступов -> Редактирование транзакций расхода). У полностью согласованной заявки он увидит специальную иконку: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003734625/original/WU8isJlx4VVeEhm7SRpZsnhMhrgqk6TBWA.png?1646157424 Или можно добавить расход прямо из заявки: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003734631/original/XBi6z8lpIfrqMjlLS6baT35BjKz3Lk28Tw.png?1646157425 При нажатии на иконку или кнопку откроется окно для создания транзакции расхода: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003734628/original/Ed9-W1W85dw7BdX8d7UsWjbk8P0xbZtjQg.png?1646157424 В данном окне можно внести кассу, с которой произошла оплата, оплаченную сумму и указать тип расхода (если у вас пустой список касс - см как их создать в разделе Финансы чуть ниже). При этом, если не выбрать галочку «Перенести заявку в оплаченные», то внесенная сумма сохранится, транзакция будет создана, но заявка все еще будет в статусе “Согласована”. Это нужно когда, например, заранее был составлен и согласован бюджет под несколько задач/платежей. В таком случае вы можете вносить оплаченную сумму по частям и видеть сколько уже фактически оплачено из запрошенной суммы: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003734624/original/QI1xrDs9XQOraTGI2u6DzrZpQqLDv_3p-w.png?1646157423 Расходы по заявке будут видны и в самой заявке: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003734626/original/tmuwKzf2GeBnDOSyvEgDSQ20gw2SlrQxsw.png?1646157424 Если же при внесении суммы оплаты указать галочку «Перенести заявку в оплаченные», то заявка перейдет в статус “Оплачено”.|0.24818593
