question;chunk_from_text;chunk_from_video;answer
Здравствуйте. Как пройти обучающие видео по программе?;score: 0.24397326, О том, как создаются обучающие курсы, вы можете узнать из нашего короткого видео:https://www.youtube.com/embed/esLVA9YBT04;score: 0.32596186, Всем привет, меня зовут Евгений, я директор продукта Platrum. В этом видео я проведу небольшую презентацию по нашему сервису и покажу основные инструменты и возможности. И начнем мы со структуры компании. Я думаю, что сегодня никому не нужно объяснять, насколько важен организационный дизайн для построения успешной компании. Все работают с орг структуры в том или ином виде. И в Platrum вы легко можете создать наглядную, полную структуру компании, которая всегда будет актуальна и будет показывать все взаимосвязи.;
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику;score: 0.3328785, В случае, если вы сделали какое-то изменение и получили не тот результат, который хотели или случайно удалили нужный блок, то вы можете восстановить одну из предыдущих версий. Версии хранятся за последние 3 дня.Открыть список версий и выбрать нужную можно открыв пункт «История версий» в выпадающем списке по клику на три точки рядом с кнопкой настроек структуры.https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003437903/original/Iym-68tLwDyFPOQxpxPJ5JF6TK1qpGeYGQ.png?1645703785При выборе какой-то версии она сразу же восстанавливается, но при этом текущая также сохраняется, так что вы сможете отменить восстановление выбрав последнюю сохраненную версию.;score: 0.32907575, Ну и раз уж мы с вами находимся в этом подменю, то давайте сразу поговорим про историю версий. Ну, собственно, здесь все просто. После каждого изменения в структуре сохраняется отдельная версия, и вы можете в любой момент просмотреть эту историю и восстановить предыдущую версию. Версии хранятся только в течение трех дней, то есть основная задача истории версий – это просто уберечь вас от какого-то изменения. Например, если вы случайно удалили не тот отдел, который хотели, или что-то подобное. То есть мы предполагаем, что в данном случае вы сразу же поймете, что произошла какая-то проблема и сможете восстановить версию из последних, на последние три дня.;
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью;score: 0.30759713, В таком случае напишите, пожалуйста, нам, мы обязательно поможем. Вы можете написать, воспользовавшись виджетом чата или, если вы на странице документации, то через форму обратной связи (в правом верхнем углу).;score: 0.31620294, Вот в нашем случае мы сделали такую механику, что из этого шага можно либо пойти дальше, либо отказать полностью, то есть, зарубить никаких там дополнительных менеджеров по холодным продажам в нашем кейсе, либо вернуть на доработку, если что-то не устроило. В вашем случае это может быть другое, может быть одна кнопка, может быть 10, как вам здесь удобно, то есть, насколько ваш процесс ветвится и сколько возможных сценариев в нем присутствует. В данном случае я передаю заявку в работу и мне предлагается выбрать того, кто будет, собственно, заниматься этой заявкой. В данном случае автоматически подставился директор по персоналу, потому что в настройках было указано, что ответственным за следующий шаг должен быть сотрудник с должности директор по персоналу. Ну, комментарии в данном случае не обязательно, я, например, его не оставляю. Прошли дальше, мы видим, что процесс попал к тому сотруднику, которого мы указывали. Снова, ну не буду повторяться, снова подсказка, доступная информация, доступные действия. Давайте, допустим, пойдем дальше и назначим рекрутера, который будет, собственно, заниматься уже непосредственным поиском. Ну, здесь у нас опять же подставился автоматический сотрудник, в данном случае это руководитель отдела персонала. Он будет уже дальше разбираться с этой заявкой. Теперь руководитель отдела по работе, руководитель отдела найма у нас должен назначить ответственного уже непосредственного менеджера подбора персонала. То есть, руководитель на своем уровне, например, с заявкой ознакомился, он понял, что вот принял эту работу на свой отдел и теперь уже распределяет, кто должен ей заниматься. Можно, например, на нескольких менеджерах сразу, если это срочная позиция, сразу привлечь нескольких менеджеров по подбору персонала, чтобы они побыстрее ее закрыли. Ну, мы, допустим, оставим того, который у нас подставился по умолчанию.;
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?);score: 0.3269537, В таком случае напишите, пожалуйста, нам, мы обязательно поможем. Вы можете написать, воспользовавшись виджетом чата или, если вы на странице документации, то через форму обратной связи (в правом верхнем углу).;score: 0.32680237, Вот в нашем случае мы сделали такую механику, что из этого шага можно либо пойти дальше, либо отказать полностью, то есть, зарубить никаких там дополнительных менеджеров по холодным продажам в нашем кейсе, либо вернуть на доработку, если что-то не устроило. В вашем случае это может быть другое, может быть одна кнопка, может быть 10, как вам здесь удобно, то есть, насколько ваш процесс ветвится и сколько возможных сценариев в нем присутствует. В данном случае я передаю заявку в работу и мне предлагается выбрать того, кто будет, собственно, заниматься этой заявкой. В данном случае автоматически подставился директор по персоналу, потому что в настройках было указано, что ответственным за следующий шаг должен быть сотрудник с должности директор по персоналу. Ну, комментарии в данном случае не обязательно, я, например, его не оставляю. Прошли дальше, мы видим, что процесс попал к тому сотруднику, которого мы указывали. Снова, ну не буду повторяться, снова подсказка, доступная информация, доступные действия. Давайте, допустим, пойдем дальше и назначим рекрутера, который будет, собственно, заниматься уже непосредственным поиском. Ну, здесь у нас опять же подставился автоматический сотрудник, в данном случае это руководитель отдела персонала. Он будет уже дальше разбираться с этой заявкой. Теперь руководитель отдела по работе, руководитель отдела найма у нас должен назначить ответственного уже непосредственного менеджера подбора персонала. То есть, руководитель на своем уровне, например, с заявкой ознакомился, он понял, что вот принял эту работу на свой отдел и теперь уже распределяет, кто должен ей заниматься. Можно, например, на нескольких менеджерах сразу, если это срочная позиция, сразу привлечь нескольких менеджеров по подбору персонала, чтобы они побыстрее ее закрыли. Ну, мы, допустим, оставим того, который у нас подставился по умолчанию.;
Здравствуйте , задачи с гугл календаря попадают только в календарь,??;score: 0.26331767, У каждого сотрудника в проекте есть возможность работать с задачами в календаре.Сотрудники, у которых есть подчиненные, могут выбирать для просмотра календарь своего сотрудника.;score: 0.26070088, На данной странице вы, в принципе, видите все задачи, которые требуют вашего внимания. Это и ваши входящие задачи, которые вы тут же можете переместить куда-то в календарь, либо, понимая, что вы, например, вернетесь к этой задаче через несколько недель, поставить ее сразу в планы на неделю вперед. И, конечно, любую задачу вы можете поместить сразу в календарь, указав нужное время для ее выполнения. Календарь задач синхронизируется с Google Календарем, и с помощью этого вы сможете связать его с любым другим календарем задач из другой системы или на вашем телефоне.;
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?;score: 0.26398188, По полностью согласованной заявке можно внести фактически оплаченную сумму. Это может сделать сотрудник, у которого есть соответствующий доступ (смотрите в настройках доступов -> Редактирование транзакций расхода). У полностью согласованной заявки он увидит специальную иконку:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003734625/original/WU8isJlx4VVeEhm7SRpZsnhMhrgqk6TBWA.png?1646157424Или можно добавить расход прямо из заявки:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003734631/original/XBi6z8lpIfrqMjlLS6baT35BjKz3Lk28Tw.png?1646157425При нажатии на иконку или кнопку откроется окно для создания транзакции расхода:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003734628/original/Ed9-W1W85dw7BdX8d7UsWjbk8P0xbZtjQg.png?1646157424В данном окне можно внести кассу, с которой произошла оплата, оплаченную сумму и указать тип расхода (если у вас пустой список касс - см как их создать в разделе Финансы чуть ниже). При этом, если не выбрать галочку «Перенести заявку в оплаченные», то внесенная сумма сохранится, транзакция будет создана, но заявка все еще будет в статусе “Согласована”. Это нужно когда, например, заранее был составлен и согласован бюджет под несколько задач/платежей. В таком случае вы можете вносить оплаченную сумму по частям и видеть сколько уже фактически оплачено из запрошенной суммы:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003734624/original/QI1xrDs9XQOraTGI2u6DzrZpQqLDv_3p-w.png?1646157423Расходы по заявке будут видны и в самой заявке:https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003734626/original/tmuwKzf2GeBnDOSyvEgDSQ20gw2SlrQxsw.png?1646157424Если же при внесении суммы оплаты указать галочку «Перенести заявку в оплаченные», то заявка перейдет в статус “Оплачено”.;score: 0.22885728, И давайте посмотрим, что у нас увидел автор этой заявки. А автору заявки у нас также пришло уведомление. Изменен статус заявки, которую вы создали. Уведомления о промежуточных этапах согласования не приходят, но как только статус заявки меняется, то есть она становится полностью согласована или по ней отказывают, автору приходит уведомление. Уведомления приходят стандартно, как и все остальные у нас системы. Их можно настроить внутри проекта в этой панели. Их можно настроить с отправкой на почту, либо это могут быть пуш-уведомления, которые будут всплывать у вас в вашем браузере. Для меня, как для автора, после согласования заявки в принципе здесь ничего не меняется, так как у меня нет доступа на внесение расхода, на создание транзакции расхода, то у меня никакой иконки для внесения суммы нет. Я по-прежнему могу ее отклонить, даже после того, как ее согласовали. В принципе, больше ничего здесь делать не могу. По идее, для меня, как для автора, эта заявка завершена успешно и теперь я могу рассчитывать на сумму, в данном случае на 5000 рублей для оплаты участия в конференции, как я сформулировал цель заявки. Что у нас происходит с заявкой далее?;
Подскажите пожалуйста, где можно отключить уведомления на почту..? кто-нибудь начинает добавлять задачи у меня завал на почте;"score: 0.29400465, По событиям, происходящем в проекте есть три варианта получения уведомлений:Базово включены все типы уведомлений для всех событий, но вы можете отрегулировать это, если хотите следить только за какими-то конкретными определенным способом.Для этого нужно открыть Настройки -> в концы страницы открыть Настройки уведомленийhttps://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003083861/original/0E64rlsq9leF4FcZZGgzUDGobLbZ94C4pQ.png?1645106729Вы можете отключить какой-то канал целиком (email из примера на скриншоте), либо отдельно по группам уведомлений (из примера на скриншоте - все уведомления в проекте из категории ""Пароли"").";score: 0.34190574, По умолчанию они не будут создаваться никому, у кого нет ни одного пройденного курса. То есть, условно, владельцу компании, который никогда, например, курсы не проходит, его не будут беспокоить какие-то уведомления о том, что на вас создан новый курс и так далее. В принципе, сюда дополнительно вносить владельца, если он, например, курсы никогда не проходит, не нужно. Но если есть сотрудники, которые курсы проходят, но по какой-то причине вы хотите, чтобы эта должность была исключена из автоматического создания, вы можете здесь исключить конкретную какую-то должность.;
Просьба подсказать, как можно поменять почту у действующего сотрудника в Платрум, чтобы ему повторно не проходить курсы.;score: 0.26411605, Каждому сотруднику вы можете поменять график работы. Подробнеечитайте в отдельной статье (https://help.platrum.ru/article/53-article);score: 0.3175289, Отправляю заново, и теперь руководитель, который уже эту заявку однажды видел, ему не придется тратить время на то, чтобы опять все поля изучать, разбираться, что же это такое, система ему подсвечивает желтеньким, что как бы вот именно вот эта боль была изменена с последнего раза. Я по истории вижу, что я уже однажды эту заявку на согласование видел, и я по ней отказал, сказал, что нужно исправить систему мотивации, и, соответственно, вижу, что система мотивации исправлена. Ну, я ее перепроверяю, на этот раз, допустим, меня все устраивает, я в таком случае согласовываю и передаю заявку в работу. Вот эти поля, которые мы здесь с вами видим, согласовать, передать в работу, отказать, вернуть на доработку, это опять же не заранее ограниченный набор каких-то кнопок, которые доступны. Каждую из этих кнопок вы создаете сами при администрировании бизнес-процесса.;
Здравствуйте, как можно добавить видео с хостинга Vimeo в обучение?;score: 0.27788377, О том, как создаются обучающие курсы, вы можете узнать из нашего короткого видео:https://www.youtube.com/embed/esLVA9YBT04;score: 0.3316034, Напомню, у меня расширение уже установлено. Как мы видим в правом верхнем углу у меня выводится иконка данного расширения. Для того, чтобы мне это расширение открыть, начать с ним работать, мне достаточно нажать на иконку. Когда я впервые открываю расширение, то оно просит меня указать хост моего проекта в настройках виджета. Переходим к данной настройке. Здесь мы видим запрос на указание на хоста нашего проекта. Хост проекта это то, что указывается у вас в адресе проекта до .platform.ru. То есть на примере моего демонстрационного проекта, я копирую вот эту часть, вставляю ее, сохраняю. И здесь могу просто закрыть вкладку, могу по кнопке вернуться назад попасть на предыдущую открытую вкладку. Как мы видим, содержимое панели изменилось. Теперь у меня выводится сообщение о том, что для данного URL нет контроля качества, не найдено чек-листов проверки. Это как раз связано с тем, что мы с вами еще не создали ни одного чек-листа проверки. Так мы настроили работу инструмента, но нам нужно теперь создать первый чек-лист.;
Пишу правильный ответ на текст, пишет допустили ошибку;score: 0.32841402, Активная настройка будет предлагать сотруднику, если он допустил ошибку в каком-либо вопросе к материалу,  ответить только на вопрос с ошибкой.Будет полезно, если к материалу добавлено много вопросов, и в случае ошибки сотруднику придется потратить много времени, чтобы заново отвечать на все.;score: 0.30912852, Я, когда вернусь в следующий раз в этот тест, у меня те вопросы, которые я верно ответил, по умолчанию они будут закрыты, мне не нужно будет на них заново отвечать, и мое внимание потребует только оставшиеся вопросы. Если я эту настройку отключу, то это будет такой уже более, скажем, строгий режим. При повторном заходе в тест у сотрудника снова все вопросы будут со статусом не отвечены. А так как все вопросы всегда в рамках теста выводятся в случайном порядке, и варианты ответа тоже выводятся в случайном порядке, это сделано, чтобы сотрудники просто не делились друг с другом, кто-то один прошел курс, а все следующие просто записали, так, один, второй вариант, два, третий вариант и так далее. В итоге вроде как все курсы прошли, а регламент никто не знает. То есть там все варианты ответа перемешиваются, и такой фокус не пройдет. А, соответственно, если мы еще и не говорим, где человек ошибся, то ему повторно придется ответить на вопрос, на который он уже верно ответил, и ему нужна полная уверенность в том, что он верно все понял, иначе он и уже верно отвеченный вопрос также попытается ответить как-то по-другому.;
