question|total_answers|min_score|mean_score|max_score
Здравствуйте. Как пройти обучающие видео по программе?|4|0.30663133|0.3331267684698105|0.34481952
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|4|0.38461858|0.403905414044857|0.41413662
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|4|0.38001752|0.3986387550830841|0.41782355
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|4|0.3725723|0.38767407089471817|0.39814344
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|4|0.27858946|0.33362704515457153|0.3707325
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|4|0.29275018|0.32825276255607605|0.3842008
Подскажите пожалуйста, где можно отключить уведомления на почту..? кто-нибудь начинает добавлять задачи у меня завал на почте|4|0.327816|0.3659045919775963|0.382542
Просьба подсказать, как можно поменять почту у действующего сотрудника в Платрум, чтобы ему повторно не проходить курсы.|4|0.35856628|0.36273399740457535|0.36653784
Здравствуйте, как можно добавить видео с хостинга Vimeo в обучение?|4|0.3109862|0.33588507771492004|0.35187533
Пишу правильный ответ на текст, пишет допустили ошибку|4|0.3931513|0.4105343744158745|0.42113608
есть ли возможность загрузить в Platrum опросник 360 для прохождения анонимного опроса всеми сотрудниками компании использующими в работе программу.|4|0.33648658|0.3486903980374336|0.3623905
Как вставить тесты и практические задания в обучающий курс?|4|0.25715846|0.2799796983599663|0.2974061
Подскажите, как пересдать экзамен, если есть неверные ответы?|4|0.32580125|0.37917840480804443|0.42363954
Менеджеры могут и писать курс и проходить его потом?|4|0.32125896|0.3309810310602188|0.34726012
Подскажите, пожалуйста, как перенести статью из папки в папку|4|0.35753942|0.39464903622865677|0.41385442
Подскажите, возможно ли в текстовом редакторе внутри базы знаний сделать картинку- полоску для разделения текста.|4|0.30251837|0.31746818870306015|0.33869222
новости в компании каждый сотрудник может публиковать?|4|0.33677477|0.3523925244808197|0.37697142
Здравствуйте есть api на бронирование?|4|0.29432088|0.37628426402807236|0.40541467
как добавить права сотруднику и какие чтоб он мог делать курсы и выставлять их|4|0.23766638|0.267495084553957|0.29861635
Работает ли Платрум в Азербайджане?|4|0.35320657|0.37036142498254776|0.37864655
в БП есть опция отмены создания БП?|4|0.40077275|0.4043118953704834|0.40829217
есть ли у БП параметр успешности\неуспешности закрытия? Н-р, при выборе одного селекта + завершить БП будет помечен как успешно закрытый, другого + завершить - как неуспешно закрытый.|4|0.4106432|0.4160970002412796|0.42157602
как сделать чтоб сотрудник мог видеть и вносить суммы в расходах и доходах только своей кассы и типов его отдела|4|0.2725844|0.2892088443040848|0.30369943
Как создать виджет в дашбоорд?|4|0.23838949|0.316249243915081|0.3474042
работает ли Platrum в Китае?|4|0.39884296|0.40583547204732895|0.4171287
где я могу получить информацию о том,что такое Программа обучения и как с ней работать?|4|0.31331015|0.340628944337368|0.35119715
Где могу посмотреть удаленные статьи на платрум?|4|0.35535485|0.37092477083206177|0.3793236
как мне скопировать ссылку так, чтобы при открытии открылся сразу нужный заголовк?|4|0.39904308|0.40483155846595764|0.40942407
Подскажите, пожалусйта, как удалить демо-данные по метрикам|4|0.32483605|0.3586210608482361|0.38754869
мы можем перенести влю базу знаний на другой аккаунт?|4|0.3451057|0.35629867762327194|0.369617
Скажите, есть возможность в P&L отчете в формулах учитывать проценты?|4|0.29097784|0.3426080420613289|0.3731424
в каком из инструментов планирования задач мне будет удобней всего отслеживать именно просроченные задачи - чтобы они подсвечивались красным например|4|0.28115687|0.31583911925554276|0.35461444
орг структуру внутри статьи нарисовать можно?|4|0.32992083|0.3429539352655411|0.36230314
как сохранить работу над ошибками?|4|0.3819855|0.40167344361543655|0.4106552
В карточку задачи скриншот по принципу ctrl+v вставить не получится?|4|0.3407861|0.3476518392562866|0.35232216
почему я не вижу доступных курсов в разделе Академия?|4|0.30663997|0.32325054705142975|0.33806765
можно ли секции в оргсхеме менять местами?|4|0.3577941|0.3709752857685089|0.39248222
можно как-то, чтоб метрики не удалять, а в архив отправлять?|4|0.31649703|0.34639614075422287|0.381001
может ли один курс быть в разных программах?|4|0.3238977|0.37658772617578506|0.3994435
шаблон на 7 управленний доступен только после оплаты?|4|0.3145506|0.34373103827238083|0.35894364
Забыл пароль. Как восстановить?|4|0.36115998|0.38294416666030884|0.40650427
Как передать метрики?|4|0.24481|0.31284429505467415|0.38099867
Как добавить сотрудника?|4|0.22304812|0.2722118869423866|0.30954492
Как выдать доступы сотруднику?|4|0.30072436|0.3284168839454651|0.3576145
Ваша учетная запись отключена - почему и что делать?|4|0.37855983|0.3904602453112602|0.4044148
Как распечатать структуру?|4|0.26051378|0.31262973695993423|0.37197044
Пропали метрики после смены структуры, как вернуть?|4|0.34854358|0.39834609627723694|0.45025605
Как заполнить метрики за предыдущие периоды?|4|0.27338|0.3195939362049103|0.36356992
Как восстановить пароль?|4|0.34682983|0.3760679364204407|0.4063838
Как восстановить удаленную статью?|4|0.40270135|0.4096742793917656|0.41768917
Как добавить на должность сотрудника?|4|0.22200072|0.24943247437477112|0.2633476
