question|document_page_content|similarity_score
Здравствуйте. Как пройти обучающие видео по программе?|['На втором экране можно записаться на внедрение Platrum, пройти курс обучения пользованию системой.']|0.26048052
Здравствуйте. Как пройти обучающие видео по программе?|['В небольшом видео ниже описана настройка и работа инструмента:\nhttps://www.youtube.com/embed/gklTnjZLXg0\n\n### Как работает автоматический контроль знаний\nСуть данного инструмента в том, что для сотрудников, проходивших курсы академии раз в определенный период, автоматически формируется новый курс, содержащий в себе понемногу вопросов от каждого пройденного ранее.']|0.26213074
Здравствуйте. Как пройти обучающие видео по программе?|['О том как создавать вопросы и курсы вы можете подробнее узнать из\nстатьи (https://help.platrum.ru/article/23-article)\nили нашего видео:\nhttps://www.youtube.com/embed/esLVA9YBT04']|0.29799694
Здравствуйте. Как пройти обучающие видео по программе?|"['Настраиваем академию ""под себя""\n\n### Для чего вам нужна Академия\nВ небольшом видео ниже приведен пример работы инструмента и описаны основные достоинства:\nhttps://www.youtube.com/embed/4WyDAauWzMc\n\n### Кому доступна Академия\nВ академии есть несколько ролей, которые обеспечивают разный уровень доступа сотрудника к инструменту:\n- Администратор академии -\xa0сотрудник с этим уровнем доступа может создавать/редактировать/удалять курсы, назначать участников, проверять и сбрасывать прогресс, назначать тренеров.']"|0.2991506
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|['То есть он не изменяет прошлые периоды в метриках, а начинает действовать только с момента назначения.']|0.33469647
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|['То есть он не изменяет прошлые периоды в метриках, а начинает действовать только с момента назначения.']|0.33480638
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|"['|\nЕсли вы допустили ошибку, можно отменить действие, либо, наоборот, вернуть последнее отмененное, для этjго в левом верхнем углу есть соответствующие кнопки:\nhttps://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641248/original/MBGkK5vb0ZLRRczUEc3iOogUOW3gqCTxrA.png?1646057732\nОтменить действие можно также по команде Ctrl+Z.']"|0.33779502
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|['Усреднив значения, можно будет посмотреть на динамику показателей , сгладив пики, чтобы проверить реальный тренд.']|0.33827728
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|['Мы передадим запрос нашему техническому отделу.']|0.29035503
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|['На текущий момент вы можете обратиться в нашу поддержку, чтобы приобрести тариф, который включает в себя мессенджер.']|0.29797712
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|['Для таких компаний мы разработали тариф, который позволяет кастомизировать нашу систему под ваш бренд, а так же не волноваться об утере данных при утере данных - все данные будут периодически сохраняться и присылаться вам на почту, чтобы в случае случайного удаления, вы смогли их восстановить.']|0.30208036
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|['В нашем случае отправляет заявку сотрудник, а согласовывает ее в следующем шаге руководитель этого сотрудника.']|0.31488538
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|['В данном случае необходимо связаться с соискателем, обсудить его кандидатуру на вакансию и оговорить дату собеседования.']|0.3014383
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|['Затем вам нужно продумать, какие результаты выполнения шага могут быть?']|0.30178845
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|['Затем вам нужно продумать, какие результаты выполнения шага могут быть?']|0.3018179
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|['Это упростит вам задачу в понимании того, какие заявки расходы можно одобрить, а с чем пока стоит повременить.']|0.3055085
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|['Все задачи из планов, досок и календаря собраны здесь.']|0.24234185
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|['Здесь собраны все задачи в одном месте с календарем, чтобы можно было детальнее планировать рабочие дни, как свои так и подчиненных.']|0.24506687
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|['Перетащив задачу в календарь, вы \xa0устанавливаете ей сроки выполнения, и наоборот - установив в задаче срок, она автоматически займет в календаре соответствующую ячейку.']|0.27167773
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|"['Чтобы задача отобразилась в Platrum, нужно создать ""Мероприятие"" в Google Календаре и выбрать календарь, который вы указывали при интеграции c Google Календарем в Platrum.']"|0.2718715
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|"['Чтобы перевести платеж и заявку в статус ""Оплачено"" при создании транзакции не забудьте отметить соответствующий чекбокс.']"|0.25990123
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|['В таком случае вы можете вносить оплаченную сумму по частям и видеть сколько уже фактически оплачено из запрошенной суммы:\nhttps://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003734624/original/QI1xrDs9XQOraTGI2u6DzrZpQqLDv_3p-w.png?1646157423\nРасходы по заявке будут видны и в самой заявке:\nhttps://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003734626/original/tmuwKzf2GeBnDOSyvEgDSQ20gw2SlrQxsw.png?1646157424\nЕсли же при внесении суммы оплаты указать галочку «Перенести заявку в оплаченные», то заявка перейдет в статус “Оплачено”.']|0.26938826
