question|document_page_content|similarity_score
Здравствуйте. Как пройти обучающие видео по программе?|"Наглядно и просто мы описываем весь процесс запуска обучения в коротком видео: https://www.youtube.com/embed/esLVA9YBT04   ### Добавление участников и тренеров курса Чтобы добавить участника можно в Управлении курсами у нужного курса выбрать пункт «Участники» https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003642053/original/7QDkeO4Oj4tqPTpev5ZhP-bJhzfpDSM_jg.png?1646058248 Либо открыть курс, вкладку ""Участники"". На открывшейся странице нужно выбрать должности, для которых курс будет доступен для прохождения. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003642055/original/tYZ29mSwc-KTAqDd3mFdedS1778Far6Yxg.png?1646058248 У выбранной должности можно включить также всех подчиненных по специальной иконке:После добавления должностей все соответствующие сотрудники отобразятся в списке участников. А курс теперь будет им доступен в списке курсов (на главной странице Академии). Участникам курса список остальных участников недоступен, так что увидеть прогресс по всем слушателям может только администратор академии или тренер данного курса. Чтобы назначить конкретного участника тренером курса, нужно выбрать соответствующий пункт в выпадающем меню: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003642056/original/zlDHdbujC80iGSOpEf7ave76w4YqajyHsQ.png?1646058248 Тренер курса не будет проходить курс, но сможет проверять экзамены участников. Каждый раз, когда очередной слушатель курса напишет экзамен, тренеру будет приходить уведомление с указанием кто и в каком курсе написал экзамен, а также со ссылкой на страницу участников: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003642052/original/XMZpxNyI17K1-0c0DhoQdhYSo0fln2Ohmw.png?1646058247 Уведомление приходит только при ответе на открытые вопросы, которые требуют проверки тренера, если сотрудник отвечает на закрытый вопрос, неважно, экзаменационный он или нет, уведомление не придет. Информация о непройденных курсах, а также незавершенных обязательных курсах будет видна на рабочем столе сотрудника и его руководителя: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003642049/original/KUQs8T-qmZaHusrYxdWONa-wQYapcDX1gA.png?1646058246"|0.29986322
Здравствуйте. Как пройти обучающие видео по программе?|"СОДЕРЖАНИЕ - Введение - Начало работы - Создание программы --- Название программы --- Описание --- Обложка программы --- Курсы программы --- Черновик --- Должности участников --- Обязательная для прохождения --- Не открывать следующий курс, пока не пройден предыдущий   ### Введение Программы обучения предназначены для систематизации прохождения курсов подчиненными. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023387999/original/y8ObPTEilN5DdAgXarLOiCKM_pwROo899A.png?1662561281 Например, вам необходимо, чтобы сотрудники проходили курсы в четкой последовательности - вы сможете настроить прохождение программы таким образом, чтобы сотрудники не смог приступить к следующему курсу, пока не будет пройден предыдущий. Или ваши курсы разбиты по разным темам, и вам необходимо рассортировать курсы по темам, например, ""Продажи"", ""Продвижение"" и т.д - в этом вам так же помогут программы обучения.   ### Начало работы В самом начале, все курсы, которые у вас были созданы до этого, будут находиться в ""Курсах без программ"": https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023388060/original/BLhEArTU1ydWs_MTknd79CZRePeZaUb8og.png?1662561314 Если у вас еще нет курсов, просмотрите статью (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525541-%D1%81%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BA%D1%83%D1%80%D1%81%D0%B0) для создания первого курса.   ### Создание программы Создать программу можно через соответствующую кнопку: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023382144/original/W-QMCw8vPvk0_S_B4hpHvbkPVU0TG_i9og.png?1662559281 В появившемся меню присутствуют поля:   #### Название программы https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023383660/original/h83urYzgvnKjAi5bCpCYpP1UDL8oJibK-A.png?1662559805 Название будет отображаться в заголовке программы: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023383890/original/Q4Axhv_CiCy8LAGb95mN0fezSU7Sk7Qwrw.png?1662559875 Данное поле обязательно для заполнения.   #### Описание Поле предназначено для краткого описания программы, чтобы проходившие ее понимали суть того, что проходят: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023384488/original/NbU7Tzeh8kAFdTShUTD2iEwFJ2CxvsP9fw.png?1662560094 Описание будет отображаться текстом под заголовком программы: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023384908/original/BweWQ_HOiod7bH2o0KQ2rAtDrjgjcvUcEw.png?1662560217   #### Обложка программы Это демонстрационное изображение программы, которое может охарактеризовать суть курса: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023385267/original/OSi4ilVfzX2mtARWXQ262h0aCj4yekb78g.png?1662560340 В обложку можно загрузить файлы следующего формата: .jpg, .png, .svg: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023385522/original/UyN1n1pXWt1YhFXrtcKNAcv0ZBdTBOpDVw.png?1662560448   #### Курсы программы Через данное поле добавляются курсы в программу: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023388663/original/gAKi-pvkjowpcqUgbh3lUSwa1qYTyTIrdg.png?1662561577 Также курсы в программу можно добавить, перетащив их в нужную программу в левом меню: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023388973/original/IFWJyAealj99QWug1MRg6f3yJx0ceRQWsQ.png?1662561699   #### Черновик Все программы сначала создаются как черновики. Чтобы вывести их из под данного статуса, необходимо снять соответствующую галочку: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023389235/original/M4GMv8-96I7mjMUvVlzm6ZyRK27MtJlnWw.png?1662561802 Если программа является черновиком, то в общем списке программ она отображается полупрозрачной, а так же имеет соответствующий статус: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023389343/original/IGoFidY9EM__6IUeZ3f5FS949Z4i2LqCxQ.png?1662561848 Как только в настройках убрать, что статус программы ""Черновик"", на станет доступна всем добавленным в нее сотрудникам.   #### Должности участников В данном поле выбираются должности сотрудников, которым будет доступно прохождение программы: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023389834/original/9UWKFnx13uhV3mmtk-F_ZAOOQHlRdzedJQ.png?1662562037   #### Обязательная для прохождения Специальная настройка, которая делает прохождение программы обязательным для выбранных сотрудников: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023390217/original/GzobZHJNU8MjgVA9GssyxOMmuGd-A3ZJ6g.png?1662562171 Если настройка активная, то у сотрудников, которые просрочили сроки прохождение программы, будут заблокированы метрики. Вы можете настроить, через какое время у сотрудников заблокируются метрики в поле ""Срок прохождения"" в настройках программы. У обязательных программ соответствующий статус. Сотрудники могут отслеживать, сколько им осталось до блокировки с помощью таймера у программы: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023390505/original/XwiZ9XMSk5pYQR8k62GplG1Ge6WhDLYt2g.png?1662562272   #### Не открывать следующий курс, пока не пройден предыдущий Настройка, позволяющая выстроить прохождение курсов по порядку. Например, вам необходимо, чтобы сотрудники проходили курсы линейно. При активной настройке, при прохождении у сотрудников будут заблокированы все последующие курсы, пока не будут пройдены курсы, которые стоят перед ними: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73023391986/original/BTjr8FEy2Y8MpK8teoTzhmA_4f4RdmKPtQ.png?1662562792"|0.31769836
Здравствуйте. Как пройти обучающие видео по программе?|"СОДЕРЖАНИЕ - Создание курса - Добавление участников - Настройки курса О том, как создаются обучающие курсы, вы можете узнать из нашего короткого видео: https://www.youtube.com/embed/esLVA9YBT04   ### Создание курса На главной странице академии нужно нажать на кнопку «Создать курс»: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641953/original/zTDbRL03qSIY5bfGzRE4KxSbdM5LI52RCQ.png?1646058175 В открывшемся окне создания курса нужно указать название будущего курса. Также можно загрузить титульную картинку и  придумать описание. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641959/original/CpSaSbVNxHvqJV6cYQ01Igd_oS6cpbgUhg.png?1646058175 Добавьте материал, из которого будет состоять этот курс. Список материалов берется из вашей базы знаний. В раскрывшемся окне выберите нужные статьи, нажав на нужную. Если в курс нужно добавить несколько статьей из одной папки, нажмите на + рядом с названием папки. В примере ниже это папка ""Правила"". https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641964/original/P4xVZ3yImYVaYP6zeSjT_ZkwUey6Yike4Q.png?1646058176 При выборе статьи с тестами тесты автоматически добавляются следующим шагом. При желании его, как и любой другой материал, можно удалить, оставив только статью (для этого нужно навести курсор на материал и кликнуть по корзине). https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641957/original/OMvBkN3fjjT175Ww3eIa0rk6Zw-wQysDoA.png?1646058175 Если у вас отсутствует кнопка ""Добавить материал"", значит в Базе знаний еще нет ни одной статьи. Как добавить статьи и вопросы к ним читайте в наших статьях: о том, как создать статью (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525533) и как добавить вопросы. (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525540) Сохраните новый курс перед тем, как продолжить.   ### Добавление участников После того, как вы сохранили курс, можно перейти к добавлению участников. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641963/original/GK1l4a4vUy-nDcAIYsuSAr0GRFDPo5L-cQ.png?1646058175 Сотрудники добавляются не отдельно, а по своим должностям. Например, вы выбираете в списке должностей ""Менеджеры отдела продаж"" и в списке появятся все сотрудники, занимающие эту должность. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641967/original/pLqoSB0g92laAcPLdf-OI9aziqVyhoK-kQ.png?1646058177 Если нужно добавить большое количество должностей, можно облегчить себе задачу, добавив в курс общего руководителя для этих должностей и включить переключатель в виде стрелки. В этом случае, в курс будут добавлены все подчиненные данного руководителя. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641951/original/z6eqjlS34FqAuXWRXkcKSzB9-Bn5E1NEPg.png?1646058173 В нашем примере, т.к. курс предназначен для всех сотрудников компании, добавим в него генерального директора со всеми его подчиненными. В результате получим курс со всеми сотрудниками проекта в списке участников.   ### Настройки курса После того, как вы создали курс, его можно сделать обязательным и ограничить срок его прохождения: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641952/original/nLDdwukzWXqIfiCu9ZoRFj54L5MSJDqxHg.png?1646058175 Считаются календарные дни, а не рабочие, выходные пока тоже учитываются для прохождения. На рабочем столе пользователя будет выводиться уведомление о том, что есть незавершенный обязательный курс: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641954/original/G8AAHbyRzdBcBwEI1VebMTxwVI2qyHr_zA.png?1646058175 Если сотрудник просрочит прохождение обязательного курса, у него заблокируются метрики. У него и его руководителя на рабочем столе уведомление станет красным и текст изменится на то, что есть просроченные обязательные курсы. Как только сотрудник отправит обязательный курс на проверку, метрики станут ему доступны. Если курс будет пройден не верно, метрики опять заблокируются."|0.3300315
Здравствуйте. Как пройти обучающие видео по программе?|"СОДЕРЖАНИЕ - Для чего вам нужна Академия - Кому доступна Академия - С чего начать настройку --- Шаг 1. Добавляем тесты --- Шаг 2. Создаем курс --- Шаг 3. Добавляем участников и тренеров --- Шаг 4. Добавляем экзамен --- Шаг 5. Контролируем знания автоматически --- Шаг 6. Настраиваем академию ""под себя""   ### Для чего вам нужна Академия В небольшом видео ниже приведен пример работы инструмента и описаны основные достоинства: https://www.youtube.com/embed/4WyDAauWzMc   ### Кому доступна Академия В академии есть несколько ролей, которые обеспечивают разный уровень доступа сотрудника к инструменту: - Администратор академии - сотрудник с этим уровнем доступа может создавать/редактировать/удалять курсы, назначать участников, проверять и сбрасывать прогресс, назначать тренеров. У него нет ограничений в работе с Академией. - Создатель курсов - сотрудник с таким доступом может создавать курсы, назначать участников, тренеров, проверять результаты участников. Он является ""мини-администратором"" в тех курсах, которые создал он сам. При этом в курсах, назначенных на него, он равен в правах обычному сотруднику - Тренер - сотрудник, который может видеть прогресс всех участников курса, где он назначен тренером, и проверять результаты экзаменов. Тренера может назначить Администратор академии или Создатель курсов среди участников курса. Тренеров среди участников можно отличить по отсутствию шкалы прогресса, а также иконке академической шапочки. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641772/original/8O55yQk7bW2L2w_XvcoQ1KQSMzj5x5qzaw.png?1646058042 - Участник - участником курса становится любой сотрудник, которому назначили курс к прохождению. Участник видит его во вкладке  Активные курсы и может пройти. Он не видит, кому еще назначен этот курс, кто является тренером. Владелец проекта по умолчанию имеет доступ ко всем действиям в академии. Он же назначает Администратора и Создателя курсов в настройках доступов: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641771/original/vcDHu7uj_2Sb1ZoWKHLAWV8T_f1wkjVNSQ.png?1646058042   ### С чего начать настройку Для начала стоит помнить, что Академия работает в тесной связке с Базой знаний, и первые действия начинаются именно с неё: https://www.youtube.com/embed/esLVA9YBT04   #### Шаг 1. Добавляем тесты Курсы формируются из статей Базы знаний, а также созданных в них тестов. После каждого материала в Базе знаний можно добавить проверочный вопрос. Подробнее об этом шаге сказано в инструкции. (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525540) (https://help.platrum.ru/article/23-article)   #### Шаг 2. Создаем курс После того, как проверочные вопросы добавлены, нужно создать курс, в котором выбрать материалы по теме курса. Так, статьи одного раздела могут участвовать в разных курсах. О создании курса описано подробно в статье ""Создание курса"". (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525541)   #### Шаг 3. Добавляем участников и тренеров Чтобы сотрудники узнали о курсе и начали его проходить, нужно добавить в курс соответствующие должности. После добавления сотрудников, некоторым из них можно назначить роль тренера, чтобы они могли проверять результаты коллег. По каждому сотруднику в курсе отображается прогресс. Добавить первых участников можно по инструкции. (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525542)   #### Шаг 4. Добавляем экзамен Экзамены автоматически формируются из открытых вопросов, которые вы включили в курс. При этом по желанию вы можете любой вопрос теста назначить экзаменационным. Экзамен становится доступен сотруднику на самом последнем шаге курса. Подробнее о работе экзаменов и тренеров описано в статье. (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525543)   #### Шаг 5. Контролируем знания автоматически Чтобы убедиться, что регламенты не будут забыты сотрудниками после прохождения курса, можно настроить автоматический контроль. При этой настройке на основе пройденных сотрудником материалов для него раз в определенный период формируется курс для повторения ранее изученных материалов. Как настроить авто-контроль, описано в документации по ссылке (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525544) и в видео: https://www.youtube.com/embed/gklTnjZLXg0   #### Шаг 6. Настраиваем академию ""под себя"" После того, как курс создан и назначен участникам, можно изучить расширенные настройки, чтобы работать с академией было еще удобнее. О дополнительных настройках можно прочитать в статье ""Настройки Академии"" (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525545) ."|0.3340311
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|Метрики и Дашборды позволят контролировать выполнение показателей всеми сотрудниками компании от рядового до руководителя. Заполняя свои статистики, каждый сотрудник чувствует личную ответственность за результат и успех компании. Поэтому важно правильно назначить каждой должности свои метрики и отладить контроль за ключевыми показателями. https://www.youtube.com/embed/uxvrr7N-oSs?list=PLW1EmxdCk9RLifE7Rz6ZvsasPB1QrtGA9   ### Шаг 1. Создаем первую метрику и разбираемся с механикой Для начала работы с метриками ее нужно назначить для какой-либо из должностей. После того, как метрика создана, ее можно заполнять, устанавливать квоты, смотреть средние значения за периоды. А если ответственный за выполнение показателя уволился, можно всегда передать его метрику приемнику. Обо всех этих действия пошагово разберем в инструкции (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525754) .   ### Шаг 2. Где работать с метриками и не только Основная страница для работы с метриками - Рабочий стол. Но помимо метрик на нем можно увидеть дополнительную информацию, полезную в работе. Для чего нужен рабочий стол можно прочитать в небольшой статье. (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525756)   ### Шаг 3. Настраиваем произвольные графики работы По умолчанию графики метрик выстраиваются на основе графика работы 5/2. Но если в вашей компании есть специалисты, кто работает по другому графику, например 2 через 2 или вообще без выходных, и в связи с этим заполнять метрики им неудобно, вы можете настроить для каждого отдела собственные графики работы, на основании которых будут строиться графики метрик. Как это сделать, описано в документации по ссылке. (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525757)   ### Шаг 4. Создаем дашборд и добавляем на него метрики Дашборд - это визуальное отображение нескольких разных метрик на одной странице. Помимо метрик можно также добавлять данные из таблиц или других ресурсов. Как настроить первый дашборд, добавить метрику описано в документации по ссылке. (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525759)|0.3808065
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|Если вам нужно выгрузить отчет, в правом верхнем углу вы можете нажать на иконку копирования, а затем вставить данные в любую нужную вам таблицу. Есть возможность частично выгрузить данные, например, только для одного типа транзакций. Тогда вам нужно нажать на сумму в типе транзакции, у вас раскроется список. В правом верхнем углу списка с транзакциями вы найдете кнопку копирования: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73035868145/original/s5URSRWohIF9brv-2jJ1Ltjm5eK829pz_A.png?1671101307|0.38213754
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|Если вам нужно выгрузить отчет, в правом верхнем углу вы можете нажать на иконку копирования, а затем вставить данные в любую нужную вам таблицу. Есть возможность частично выгрузить данные, например, только для одного типа транзакций. Тогда вам нужно нажать на сумму в типе транзакции, у вас раскроется список. В правом верхнем углу списка с транзакциями вы найдете кнопку копирования: https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73035868543/original/UuoERkB5hgYGRqaHcIzz3nXjxaNcejCo6Q.png?1671101529|0.38226616
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|На странице слева расположен Календарь задач, а справа различные панели со списком задач. https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73026281465/original/uTB1R4gIoyQXSm_AoyQlPzbmp5oX94VORg.png?1664784289 Задачи можно переносить из панелей в календарь, а также между собой.|0.39032394
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|Чтобы начать пользоваться мессенджером Platrum, ваш тариф должен включать его. На текущий момент вы можете обратиться в нашу поддержку, чтобы приобрести тариф, который включает в себя мессенджер. Стоимость мессенджера без учета самого тарифа - 150 руб./мес. для одного сотрудника. В эту стоимость входит 5 гб свободного пространства для загрузки файлов на каждого сотрудника. Такого объема памяти должно быть достаточно для работы, но если вам необходим больший объем, то есть возможность докупить 100гб на проект за 2000 рублей в месяц. Вы всегда можете подключить мессенджер по своему желанию к любому из тарифов, по умолчанию он не входит ни в один из них.|0.33821726
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|СОДЕРЖАНИЕ - Тариф - Установка - Авторизация - Начало использования - Возможности сообщений - Треды - Каналы - Звонки - Настройка боковой панели - Настройки уведомлений - Настройки вида мессенджера - Боковая панель - Дополнительно В этой статье рассмотрены возможности мессенджера, и описана его настройка.|0.36184984
